orientation;acceleration_x;acceleration_y;acceleration_z;touch_count;first_touch_finger_id;first_touch_delta_time;first_touch_tap_count;first_touch_phase;first_touch_position_x;first_touch_position_y;second_touch_finger_id;second_touch_delta_time;second_touch_tap_count;second_touch_phase;second_touch_position_x;second_touch_position_y;current_game_state;game_event;;;;;
FaceUp;0.05859375;-0.2246094;-0.9335937;1;0;0.03333334;1;Moved;464.1428;320.8418;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1152344;-0.2539063;-0.9882811;1;0;0.03333334;1;Moved;465.8538;350.5064;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1308594;-0.3007813;-0.9804687;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.0234375;-0.203125;-0.9628906;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.02148437;-0.2109375;-0.9511718;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.06835937;-0.2226563;-0.9531249;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.09960937;-0.2480469;-0.9980469;1;0;0.03333334;1;Moved;441.2506;240.851;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.07421874;-0.2441406;-0.9531249;1;0;0.03333334;1;Moved;442.0145;223.4871;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.06445313;-0.2304688;-0.9511718;1;0;0.03333334;1;Moved;442.6272;201.9521;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.046875;-0.2226563;-0.9531249;1;0;0.03333334;1;Moved;445.2701;184.6925;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05273437;-0.2246094;-0.9589843;1;0;0.03333334;1;Moved;446.6508;178.3787;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.06054687;-0.2363281;-0.9374999;1;0;0.03333334;1;Stationary;446.8931;177.1243;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.0546875;-0.2207031;-0.9492187;1;0;0.03333334;1;Moved;446.6006;182.1948;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.06640624;-0.2246094;-0.9589843;1;0;0.03333334;1;Moved;446.3107;200.9113;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.06054687;-0.2109375;-0.9531249;1;0;0.03333334;1;Moved;446.6287;210.2009;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.07421874;-0.2167969;-0.9746093;1;0;0.03333334;1;Stationary;446.1966;218.2898;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.06640624;-0.2148437;-0.9589843;1;0;0.03333334;1;Stationary;446.1793;219.8986;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.06640624;-0.2167969;-0.9628906;1;0;0.03333334;1;Stationary;446.1793;219.8986;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08203125;-0.2226563;-0.9902343;1;0;0.03333334;1;Stationary;446.1739;220.3999;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.06640624;-0.2324219;-0.9843749;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.08007812;-0.2617188;-0.9726562;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1289063;-0.2949218;-0.7792968;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.0390625;-0.2695312;-0.9824218;2;0;0.03333334;1;Stationary;253.7376;198.8622;1;0.03333334;1;Stationary;371.292;206.5402;GS_ISLAND;;;;;;
FaceUp;0.109375;-0.2441406;-0.9765624;2;0;0.03333334;1;Moved;222.1613;197.0914;1;0.03333334;1;Moved;391.2993;198.2303;GS_ISLAND;;;;;;
FaceUp;0.08398438;-0.2246094;-0.9394531;2;0;0.03333334;1;Moved;202.6911;191.1909;1;0.03333334;1;Moved;409.9269;190.5257;GS_ISLAND;;;;;;
FaceUp;0.07421874;-0.2148437;-0.9472656;2;0;0.03333334;1;Moved;191.8626;187.025;1;0.03333334;1;Moved;418.2855;186.7597;GS_ISLAND;;;;;;
FaceUp;0.0703125;-0.2167969;-0.9472656;2;0;0.03333334;1;Moved;181.8772;182.9173;1;0.03333334;1;Moved;426.1353;184.0977;GS_ISLAND;;;;;;
FaceUp;0.04101563;-0.2128906;-0.9609374;2;0;0.03333334;1;Stationary;178.183;182.1303;1;0.03333334;1;Moved;432.3175;182.3543;GS_ISLAND;;;;;;
FaceUp;0.04882812;-0.2675781;-0.9453124;2;0;0.03333334;1;Moved;186.6512;190.8354;1;0.03333334;1;Moved;423.1906;182.7382;GS_ISLAND;;;;;;
FaceUp;0.0390625;-0.2695312;-0.9707031;2;0;0.03333334;2;Stationary;195.924;186.5773;1;0.03333334;1;Moved;407.7843;175.7859;GS_ISLAND;;;;;;
FaceUp;0.1015625;-0.2773438;-0.9804687;2;0;0.03333334;2;Stationary;200.0379;175.4827;1;0.03333334;1;Stationary;389.7544;173.5245;GS_ISLAND;;;;;;
FaceUp;0.08593749;-0.2578125;-0.9414062;2;0;0.03333334;2;Moved;204.084;173.8762;1;0.03333334;1;Moved;384.7819;173.5245;GS_ISLAND;;;;;;
FaceUp;0.09570313;-0.2539063;-0.9472656;2;0;0.03333334;2;Stationary;211.6746;172.537;1;0.03333334;1;Stationary;382.2124;173.1406;GS_ISLAND;;;;;;
FaceUp;0.09374999;-0.2539063;-0.9374999;2;0;0.03333334;2;Moved;215.6085;171.977;1;0.03333334;1;Moved;376.9128;172.3728;GS_ISLAND;;;;;;
FaceUp;0.09179687;-0.2617188;-0.9628906;2;0;0.03333334;2;Moved;220.6559;171.938;1;0.03333334;1;Stationary;373.8615;172.3728;GS_ISLAND;;;;;;
FaceUp;0.08789062;-0.2539063;-0.9394531;2;0;0.03333334;2;Stationary;220.6559;171.938;1;0.03333334;1;Stationary;373.8615;172.3728;GS_ISLAND;;;;;;
FaceUp;0.07617188;-0.2460937;-0.9531249;2;0;0.03333334;2;Moved;220.7699;171.5686;1;0.03333334;1;Moved;379.1478;170.8892;GS_ISLAND;;;;;;
FaceUp;0.06445313;-0.25;-0.9472656;2;0;0.03333334;2;Stationary;220.4383;171.3791;1;0.03333334;1;Stationary;380.6065;170.4533;GS_ISLAND;;;;;;
FaceUp;0.08789062;-0.265625;-0.9726562;2;0;0.03333334;2;Stationary;220.4383;171.3791;1;0.03333334;1;Stationary;380.6065;170.4533;GS_ISLAND;;;;;;
FaceUp;0.06054687;-0.25;-0.8515624;2;0;0.03333334;2;Moved;221.3104;176.6593;1;0.03333334;1;Ended;382.561;175.1258;GS_ISLAND;;;;;;
FaceUp;0.001953125;-0.2949218;-0.9316406;0;;;;;;;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.1054687;-0.2832031;-1.039063;1;0;0.03333334;1;Moved;445.9357;267.6585;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.03515625;-0.2929687;-0.9414062;1;0;0.03333334;1;Moved;445.548;255.5133;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05273437;-0.2675781;-0.9414062;1;0;0.03333334;1;Moved;436.3016;238.9429;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05859375;-0.265625;-0.9589843;1;0;0.03333334;1;Moved;433.5373;225.1855;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.02539063;-0.2792969;-0.9531249;1;0;0.03333334;1;Moved;433.4819;219.9229;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.02929687;-0.2578125;-0.9511718;1;0;0.03333334;1;Stationary;433.1164;215.3986;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.04101563;-0.2558594;-0.9570312;1;0;0.03333334;1;Moved;433.0308;214.885;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.0546875;-0.2480469;-0.9433593;1;0;0.03333334;1;Moved;433.6969;224.248;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05078125;-0.2539063;-0.9511718;1;0;0.03333334;1;Stationary;434.5682;230.2116;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05078125;-0.2519531;-0.9609374;1;0;0.03333334;1;Stationary;435.6175;233.3797;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.04882812;-0.2539063;-0.9531249;1;0;0.03333334;1;Moved;436.1557;234.7953;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05078125;-0.25;-0.9628906;1;0;0.03333334;1;Stationary;436.1557;234.7953;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.04882812;-0.2480469;-0.9492187;1;0;0.03333334;1;Moved;436.8898;240.3984;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05664063;-0.2519531;-0.9589843;1;0;0.03333334;1;Moved;437.7577;247.8336;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.04882812;-0.25;-0.9511718;1;0;0.03333334;1;Moved;437.9429;251.2676;;;;;;;GS_ISLAND;;;;;;
FaceUp;0.05273437;-0.2480469;-0.9570312;1;0;0.03333334;1;Stationary;437.4301;254.8264;;;;;;;GS_ISLAND;;;;;;
